,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
56,1.0,1.0,307.88,0.83,4.156063610610353,432.24663,0.12,450.81864661654146,1055.3594080338266,5004.0,1.5037387486278815,0.81,-0.09,4.22,9.41266,0.0
57,1.0,1.0,392.6,1.0,4.156063610610353,289.2253,0.2,450.81864661654146,1055.3594080338266,4414.0,11.0,0.74,-0.2,2.24,8.65569,0.0
58,1.0,1.0,733.0,1.7,4.156063610610353,540.311,0.76,450.81864661654146,1055.3594080338266,4534.0,10.33,1.09,-0.13,2.48,8.264489999999999,0.0
59,1.0,1.0,2590.0,4.2,4.156063610610353,508.5,0.35,450.81864661654146,1055.3594080338266,4943.0,7.6,1.52,-0.19,2.85,9.02851,0.0
60,1.0,1.0,265.59,0.78,4.156063610610353,228.83645,0.27,450.81864661654146,1055.3594080338266,5012.0,1.5037387486278815,0.91,0.18,4.09,9.15305,0.0
61,1.0,1.0,86892.9125491974,1662.0,14.684000000000001,4767.4261,0.15462133559705715,450.81864661654146,1303.0,4993.0,0.8,1.0,0.008792358803986709,4.55,9.174389999999999,0.0
62,1.0,1.0,1198.48,2.06,4.156063610610353,1258.60049,0.88,450.81864661654146,1055.3594080338266,5000.0,1.5037387486278815,0.82,-0.09,4.2,8.705,0.0
63,1.0,1.0,723.2,1.48,4.156063610610353,7961.6016,0.39,450.81864661654146,1055.3594080338266,5040.0,1.5037387486278815,0.81,-0.14,4.25,8.78101,0.0
64,1.0,2.0,3.8728,0.0428,4.156063610610353,8.5,0.0,450.81864661654146,1055.3594080338266,4324.0,1.5037387486278815,0.7,-0.14,4.74,9.10677,0.0
65,1.0,2.0,125.94,0.435,4.156063610610353,53.0,0.31,450.81864661654146,1055.3594080338266,4324.0,1.5037387486278815,0.7,-0.14,4.74,9.10677,0.0
66,1.0,2.0,5.6,0.06,4.156063610610353,12.7132,0.15,450.81864661654146,1055.3594080338266,4816.0,0.71,0.5,-0.06,4.43,9.50331,0.0
67,1.0,2.0,237.6,0.68,4.156063610610353,104.0,0.19,450.81864661654146,1055.3594080338266,4746.0,1.5037387486278815,0.74,-0.07,4.13,9.50331,0.0
68,1.0,1.0,3.48777,0.04,4.156063610610353,187.5197,0.02,450.81864661654146,1055.3594080338266,5393.0,0.91,1.47,0.38,4.69,9.83981,0.0
69,1.0,2.0,1634.0,2.36,4.156063610610353,206.5895,0.05,450.81864661654146,1055.3594080338266,4550.0,0.64,0.65,-0.35,4.64,9.48511,0.0
70,1.0,2.0,74.2,0.3,4.156063610610353,15.37,0.4,450.81864661654146,1055.3594080338266,4550.0,0.64,0.65,-0.35,4.64,9.48511,0.0
71,1.0,1.0,714.2999900000001,1.66,4.156063610610353,3108.3774,0.21,450.81864661654146,1055.3594080338266,4545.0,19.17,2.12,-0.08,2.2,9.699710000000001,0.0
72,1.0,1.0,655.6,1.34,4.156063610610353,1620.9,0.54,450.81864661654146,1055.3594080338266,4714.0,0.69,0.74,-0.03,4.26,9.20112,0.0
73,1.0,1.0,2.2907,0.0185,4.156063610610353,3.95,0.15462133559705715,8.6,464.0,3130.0,0.17,0.16,0.13,4.93,12.1232,0.0
74,1.0,1.0,10037.5,2.6,4.156063610610353,3337.1,0.15462133559705715,450.81864661654146,370.0,580.5,1.5037387486278815,0.02,0.008792358803986709,4.72,12.534734844941957,0.0
75,1.0,1.0,8040000.0,200.0,20.849,2479.06157,0.15462133559705715,450.81864661654146,1800.0,2320.0,0.24,0.01,0.008792358803986709,3.85,12.534734844941957,0.0
76,1.0,1.0,86892.9125491974,210.0,4.156063610610353,3994.486,0.15462133559705715,450.81864661654146,1055.3594080338266,5444.395987959579,1.5037387486278815,0.35,0.008792358803986709,4.369123805188894,17.2934,0.0
77,1.0,1.0,8.9891,11.661026827573922,4.156063610610353,3686.828,0.25,450.81864661654146,1055.3594080338266,5444.395987959579,1.5037387486278815,0.9,0.008792358803986709,4.369123805188894,12.1454,0.0
78,1.0,1.0,402000000.0,7506.0,12.442,2002.31896,0.15462133559705715,450.81864661654146,434.0,3406.0,0.39,0.37,0.0,4.83,10.146,0.0
